Understat_id,event,team_title,player_name,goals_season,shots_season,xG_season,time_season,xA_season,assists_season,key_passes_season,npg_season,npxG_season,xGChain_season,xGBuildup_season,goals_WMA,shots_WMA,xG_WMA,time_WMA,xA_WMA,assists_WMA,key_passes_WMA,npg_WMA,npxG_WMA,xGChain_WMA,xGBuildup_WMA
531,2,West Ham,Michail Antonio,1,4,1.5109469890594482,90,0.4567725360393524,1,1,1,0.7497780919075012,1.3480998277664185,0.14154915511608124,1.0,4.0,1.5109469890594482,90.0,0.4567725360393524,1.0,1.0,1.0,0.7497780919075012,1.3480998277664185,0.14154915511608124
531,3,West Ham,Michail Antonio,3,11,2.7570154666900635,180,0.9096454977989196,2,3,3,1.9958465695381165,3.047041296958924,0.16396951861679554,1.6666666666666667,6.0,1.3343613147735596,90.0,0.454172819852829,1.0,1.6666666666666667,1.6666666666666667,1.0806383490562441,1.5819942553838091,0.06212996070583661
531,4,West Ham,Michail Antonio,4,16,3.312030494213104,270,1.4809396266937256,3,7,4,2.550861597061157,4.15368127822876,0.7393190283328295,1.3333333333333333,5.5,0.9446881711483002,90.0,0.5127334743738174,1.0,2.833333333333333,1.3333333333333333,0.8178266882896423,1.3443171183268232,0.3187397352109353
531,5,West Ham,Michail Antonio,4,18,3.501185551285744,360,1.4809396266937256,3,7,4,2.7400166541337967,4.3665814846754065,0.763064181432128,0.8,4.1,0.6424749255180359,90.0,0.3076400846242905,0.6,1.7,0.8,0.5663580358028412,0.8917503535747529,0.20074190236628056
531,6,West Ham,Michail Antonio,4,18,3.501185551285744,360,1.4809396266937256,3,7,4,2.7400166541337967,4.3665814846754065,0.763064181432128,0.8,4.1,0.6424749255180359,90.0,0.3076400846242905,0.6,1.7,0.8,0.5663580358028412,0.8917503535747529,0.20074190236628056
531,7,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,0.8666666666666667,5.066666666666666,0.8198223749796549,90.0,0.3352148195107778,0.4,2.466666666666667,0.8666666666666667,0.7690777818361918,1.1158853491147358,0.2657306296130021
531,8,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,0.8,5.1,0.7621632799506187,90.0,0.3156918376684189,0.3,2.6,0.8,0.7621632799506187,1.0807543411850928,0.2827187178656459
531,9,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,0.6666666666666666,5.0,0.7428128272294998,90.0,0.29039783279101056,0.16666666666666666,2.6666666666666665,0.6666666666666666,0.7428128272294998,1.0374844024578729,0.3016606780389945
531,10,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,0.6666666666666666,5.333333333333333,0.8460632016261419,90.0,0.26024285952250165,0.0,2.6666666666666665,0.6666666666666666,0.8460632016261419,1.1137369622786841,0.27172044043739635
531,11,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,0.6666666666666666,5.333333333333333,0.8460632016261419,90.0,0.26024285952250165,0.0,2.6666666666666665,0.6666666666666666,0.8460632016261419,1.1137369622786841,0.27172044043739635
531,12,West Ham,Michail Antonio,5,25,4.675702825188637,450,1.871303915977478,3,11,5,3.9145339280366898,5.9307368248701104,1.1587722655385733,1.0,7.0,1.174517273902893,90.0,0.3903642892837525,0.0,4.0,1.0,1.174517273902893,1.564155340194702,0.3957080841064453
755,2,Leicester,Jamie Vardy,1,6,0.4564254879951477,90,0.1942613869905472,0,2,1,0.4564254879951477,0.6506868600845337,0.0,1.0,6.0,0.4564254879951477,90.0,0.1942613869905472,0.0,2.0,1.0,0.4564254879951477,0.6506868600845337,0.0
755,3,Leicester,Jamie Vardy,1,6,0.4564254879951477,175,0.1942613869905472,0,2,1,0.4564254879951477,0.7209061980247498,0.07021933794021606,0.3333333333333333,2.0,0.1521418293317159,86.66666666666669,0.06475379566351573,0.0,0.6666666666666666,0.3333333333333333,0.1521418293317159,0.263708511988322,0.046812891960144036
755,4,Leicester,Jamie Vardy,2,8,1.2485365867614746,265,0.2538096532225609,1,3,2,1.2485365867614746,1.5725655555725098,0.07021933794021606,0.6666666666666666,2.0,0.4721264640490214,88.33333333333331,0.062151030947764724,0.5,0.8333333333333334,0.6666666666666666,0.4721264640490214,0.557683934768041,0.023406445980072018
755,5,Leicester,Jamie Vardy,2,8,1.2485365867614746,355,0.28895096853375435,1,4,2,1.2485365867614746,1.6964241936802864,0.15893666446208954,0.4,1.2,0.2832758784294128,89.0,0.05134714469313621,0.3,0.9,0.4,0.2832758784294128,0.3841538161039352,0.049530798196792604
755,6,Leicester,Jamie Vardy,3,11,2.063916802406311,445,0.3673605062067509,1,6,3,2.063916802406311,2.6094470694661145,0.1781697627156973,0.6,1.8,0.4606439908345541,89.33333333333331,0.06036794235308965,0.2,1.2666666666666666,0.6,0.4606439908345541,0.560443502664566,0.03943156488239765
755,7,Leicester,Jamie Vardy,5,17,3.3978036642074585,535,0.4588706232607365,1,7,5,3.3978036642074585,4.072747893631458,0.3075837101787329,1.0,3.0,0.7101419539678665,89.5238095238095,0.06926570655334563,0.14285714285714285,1.1904761904761905,1.0,0.7101419539678665,0.8184027373790741,0.0651408170482942
