player_name,position,team_title,event,opponent_team_title,finished,value,chance_of_playing_next_round,home_flag,goalkeeper_flag,defender_flag,midfielder_flag,forward_flag,goals_WMA,shots_WMA,xG_WMA,time_WMA,xA_WMA,assists_WMA,key_passes_WMA,npg_WMA,npxG_WMA,xGChain_WMA,xGBuildup_WMA,team_xG_WMA,team_goals_WMA,team_xGA_WMA,team_goals_against_WMA,opponent_xG_WMA,opponent_goals_WMA,opponent_xGA_WMA,opponent_goals_against_WMA,goals_pgw,shots_pgw,xG_pgw,time_pgw,xA_pgw,assists_pgw,key_passes_pgw,npg_pgw,npxG_pgw,xGChain_pgw,xGBuildup_pgw,team_xG_pgw,team_goals_pgw,team_xGA_pgw,team_goals_against_pgw,opponent_xG_pgw,opponent_goals_pgw,opponent_xGA_pgw,opponent_goals_against_pgw,total_points
Bernd Leno,goalkeeper,Arsenal,2,Chelsea,True,50.0,100.0,1,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.09702771157026292,0.09702771157026292,1.02385,0.0,1.88818,2.0,1.18709,3.0,0.321701,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.09702771157026292,0.09702771157026292,1.02385,0.0,1.88818,2.0,1.18709,3.0,0.321701,0.0,2.0
Bernd Leno,goalkeeper,Arsenal,3,Manchester City,True,49.0,100.0,0,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.032342570523420974,0.032342570523420974,0.7613493333333333,0.0,3.0569399999999995,2.0,2.328136666666667,3.333333333333333,0.3700525333333333,0.3333333333333333,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.04851385578513146,0.04851385578513146,0.8269745000000001,0.0,2.76475,2.0,2.272565,2.5,0.5425743999999999,0.5,1.0
Bernd Leno,goalkeeper,Arsenal,4,Norwich,True,49.0,100.0,1,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.016171285261710487,0.016171285261710487,0.4390771666666666,0.0,3.7648349999999997,3.5,0.9509729333333332,0.5,1.747828333333333,3.1666666666666665,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.032342570523420974,0.032342570523420974,0.5902513333333334,0.0,3.334076666666667,3.0,0.9330496,0.3333333333333333,1.8334233333333332,3.3333333333333335,0.0
Bernd Leno,goalkeeper,Arsenal,5,Burnley,False,,100.0,0,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.016171285261710487,0.016171285261710487,1.3375063,0.4,2.4898178,2.1,1.5591908,0.8,1.874198,2.1,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.02425692789256573,0.02425692789256573,1.113976,0.25,2.6448805,2.25,1.5043935,0.75,1.9123474999999999,2.0,
Bernd Leno,goalkeeper,Arsenal,6,Tottenham,False,,100.0,1,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.016171285261710487,0.016171285261710487,1.3375063,0.4,2.4898178,2.1,0.75860074,0.6,1.8491318,1.2,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.019405542314052584,0.019405542314052584,0.8911808000000001,0.2,2.1159044000000002,1.8,0.75700552,0.6,1.4213712,0.6,
Bernd Leno,goalkeeper,Arsenal,7,Brighton,False,,100.0,0,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.016171285261710487,0.016171285261710487,1.3375063,0.4,2.4898178,2.1,0.8499694,1.0,1.0175112,0.7,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.016171285261710487,0.016171285261710487,0.7426506666666667,0.16666666666666666,1.7632536666666667,1.5,0.7422973333333333,0.8333333333333334,0.7468616666666666,0.5,
Bernd Leno,goalkeeper,Arsenal,8,Crystal Palace,False,,100.0,1,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4865264999999999,0.5,2.386442666666667,2.0,2.106772166666667,2.1666666666666665,0.6400154666666666,0.6666666666666666,0.0,0.0,0.0,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.013861101652894703,0.013861101652894703,0.6365577142857143,0.14285714285714285,1.5113602857142858,1.2857142857142858,0.7854734285714288,0.7142857142857143,0.48922480000000007,0.7142857142857143,
Bernd Leno,goalkeeper,Arsenal,9,Aston Villa,False,,100.0,1,1,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829035,0.6666666666666666,1.8757713333333332,1.6666666666666667,0.926148,0.3333333333333333,1.1920600000000001,2.333333333333333,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.012128463946282865,0.012128463946282865,0.556988,0.125,1.32244025,1.125,0.49079925,0.625,0.5420800000000001,0.875,
Pierre-Emerick Aubameyang,forward,Arsenal,2,Chelsea,True,99.0,100.0,1,0,0,0,1,,,,,,,,,,,,1.02385,0.0,1.88818,2.0,1.18709,3.0,0.321701,0.0,,,,,,,,,,,,1.02385,0.0,1.88818,2.0,1.18709,3.0,0.321701,0.0,1.0
Pierre-Emerick Aubameyang,forward,Arsenal,3,Manchester City,True,99.0,100.0,0,0,0,0,1,0.0,1.0,0.03982769697904587,27.0,0.0,0.0,0.0,0.0,0.03982769697904587,0.03982769697904587,0.0,0.7613493333333333,0.0,3.0569399999999995,2.0,2.328136666666667,3.333333333333333,0.3700525333333333,0.3333333333333333,0.0,0.5,0.019913848489522934,13.5,0.0,0.0,0.0,0.0,0.019913848489522934,0.019913848489522934,0.0,0.8269745000000001,0.0,2.76475,2.0,2.272565,2.5,0.5425743999999999,0.5,1.0
