Dataset,Gameweek,Position,LASSO Regression MAE,Linear Regression MAE,Random Forest MAE,Ridge Regression MAE,XGBoost MAE,XGBoost V2 MAE
training,25,midfielder,1.632395069,1.631260408,1.664814857,1.626403376,1.6285356,1.5321317
training,26,defender,2.002775531,2.04767292,2.021071762,2.013086088,1.9950508,2.024386
training,26,forward,1.962730479,1.966506115,1.991576773,1.952247645,1.9309753,1.9838449
training,26,goalkeeper,2.133885434,2.124277343,2.073039595,2.161773309,2.084427,2.1341302
training,26,midfielder,1.626564393,1.625278247,1.659246321,1.62172288,1.6190511,1.673133
training,27,defender,2.027916052,2.074280491,2.043782086,2.03763145,2.019967,2.039462
training,27,forward,1.91441027,1.917805248,1.936849987,1.898268724,1.8808899,1.8904017
training,27,goalkeeper,2.156683761,2.139591974,2.080275478,2.181787381,2.0957177,2.118099
training,27,midfielder,1.615811681,1.613455576,1.648261902,1.611810811,1.6098797,1.6364654
training,28,defender,2.046223197,2.093445643,2.056917069,2.055582873,2.0345838,1.8937919
training,28,forward,1.900359907,1.903590509,1.929463255,1.884698833,1.8659147,1.7432032
training,28,goalkeeper,2.185585312,2.16451001,2.117986161,2.208097226,2.1190374,2.0607262
training,28,midfielder,1.614648337,1.612675782,1.649928958,1.611214421,1.6106006,1.5194254
training,29,defender,2.044439799,2.089123698,2.059287988,2.053241908,2.042073,2.0404813
training,29,forward,1.907041165,1.912526486,1.936734456,1.89238432,1.8788996,1.8650234
training,29,goalkeeper,2.194593672,2.17173164,2.118462939,2.217514434,2.1261384,2.128484
training,29,midfielder,1.604967043,1.603908679,1.638837252,1.601687663,1.6020142,1.6083127
training,30,defender,2.039120279,2.084000129,2.050978603,2.047430454,2.030618,1.9019203
training,30,forward,1.920087772,1.925399828,1.950169765,1.904759147,1.8894291,1.7533259
training,30,goalkeeper,2.183373541,2.163626338,2.120361014,2.203220237,2.121289,2.074372
training,30,midfielder,1.604549971,1.604183878,1.637278362,1.60138149,1.601527,1.5151587
training,31,defender,2.015486933,2.057512941,2.028309655,2.02506036,2.0107138,1.8690304
training,31,forward,1.939827214,1.947360476,1.971772299,1.926289479,1.911872,1.7714101
training,31,goalkeeper,2.147107106,2.124728978,2.076486934,2.15831723,2.0966854,2.027773
training,31,midfielder,1.620238277,1.614557425,1.645074216,1.612341249,1.6151769,1.5215359
training,32,defender,2.008724756,2.047613294,2.023765696,2.017058423,2.0048304,1.8749914
training,32,forward,1.944800737,1.948441278,1.975959763,1.93017228,1.9130687,1.7652135
training,32,goalkeeper,2.16629894,2.156096676,2.10446069,2.185747031,2.1041644,2.0408037
training,32,midfielder,1.62663049,1.622812955,1.654998335,1.620900672,1.6262107,1.5306741
training,33,defender,2.000243202,2.038113148,2.016847274,2.007226128,1.9961495,1.859393
training,33,forward,1.944533954,1.94787648,1.976448259,1.929307208,1.9200605,1.764059
training,33,goalkeeper,2.140321056,2.137755721,2.082035911,2.16187786,2.0841925,2.0160685
training,33,midfielder,1.625124494,1.620510838,1.649998342,1.618858268,1.6190594,1.5260496
training,34,defender,2.007779124,2.044523853,2.017994671,2.01505623,2.001604,1.874784
training,34,forward,1.945906646,1.945146627,1.979360746,1.9312587,1.915005,1.7628156
training,34,goalkeeper,2.154438551,2.146018708,2.096582335,2.170778643,2.0876353,2.0418296
training,34,midfielder,1.61340694,1.608080442,1.638028052,1.605072076,1.6112572,1.5199884
training,35,defender,2.005888428,2.042849831,2.016072225,2.011393373,1.9994067,1.8685231
training,35,forward,1.938707257,1.942296632,1.984245875,1.929295695,1.9203968,1.7601628
training,35,goalkeeper,2.137178117,2.132736423,2.076733903,2.14394085,2.072006,2.0182488
training,35,midfielder,1.612254946,1.610638538,1.641249226,1.607223656,1.6081684,1.5151085
training,36,defender,2.009654784,2.044804613,2.017520658,2.015208722,2.0016482,1.8661628
training,36,forward,1.948257639,1.950327552,1.986486204,1.936672311,1.922018,1.7660639
training,36,goalkeeper,2.153831464,2.146597871,2.085455356,2.168138654,2.082721,2.0071344
training,36,midfielder,1.60798787,1.610559339,1.638612131,1.60846075,1.609081,1.5144345
training,37,defender,2.002038617,2.033914171,2.007733356,2.006817858,1.9890811,1.8657242
training,37,forward,1.950480209,1.952842672,1.987825826,1.938106535,1.9147437,1.7661629
training,37,goalkeeper,2.165769072,2.157274471,2.094656323,2.16792468,2.0865858,2.0330415
training,37,midfielder,1.610815208,1.613620519,1.641022903,1.610565819,1.6094234,1.5211251
training,38,defender,1.99443123,2.023378528,2.000821703,1.996600534,1.9839486,1.9961709
training,38,forward,1.941696406,1.94666386,1.984777566,1.932539946,1.9075724,1.9487989
training,38,goalkeeper,2.162056441,2.153494913,2.079689382,2.161428158,2.072203,2.1095705
training,38,midfielder,1.60747538,1.610959255,1.641397809,1.607059294,1.6053993,1.6390903
