,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,random_forest_v2_mae
103,test,10,midfielder,1.89066735280718,1.9303487517680342,1.8881598229884418,1.7149962429307737,1.746393267128339
104,test,11,defender,1.552495216185691,1.5184140480364479,1.4955431292097705,1.9211350174212234,1.9437468484474543
105,test,11,forward,2.3298156487080783,2.6271668271426822,2.5296178013825146,2.061646124295387,2.077037515651178
106,test,11,goalkeeper,2.6876816376929358,2.5346275377803043,2.68708695662027,1.9347850783373375,1.9477828402041983
107,test,11,midfielder,2.0166478435669863,1.9934570132194624,1.9340648672885705,1.7233664815319103,1.7609333230142488
108,test,12,defender,1.447437419030265,1.4340020542159444,1.451242407630179,2.0277705981351044,2.032129542949759
109,test,12,forward,2.440149837732737,2.5808356737837306,2.516892925690414,1.931633803664181,1.9461916205810408
110,test,12,goalkeeper,2.4935995788568435,2.3444716998548953,2.395181597452505,2.1400881295116148,2.1568526584091754
111,test,12,midfielder,2.0609191742603596,2.032584773798867,1.978753524949769,1.5863724396005814,1.6234327747206765
112,test,13,defender,1.5432293035846725,1.5027249206493567,1.496348123665159,2.0389086452281,2.052574778281378
113,test,13,forward,2.3920356278400945,2.4561785858255787,2.4205077682751046,1.9739145519262287,2.004396360623001
114,test,13,goalkeeper,2.5626984837117104,2.43520016159824,2.6705242649026824,2.0849048903947778,2.086601014540048
115,test,13,midfielder,2.018114032356678,1.9807361389922828,1.935390441933008,1.5918900859617342,1.6071934381539281
116,test,14,defender,1.512464194072332,1.4899234828741184,1.506153410993103,2.0570401913657905,2.047961326135296
117,test,14,forward,2.37365009817699,2.4107533720155376,2.363620430561418,1.8622602982621046,1.888637242881864
118,test,14,goalkeeper,2.72973162432962,2.5148136293979855,2.6810743936329655,2.069114122582922,2.0547036012744515
119,test,14,midfielder,1.9763802883023562,1.9506593185220484,1.9586624395525438,1.5862351317204886,1.5892017916818721
120,test,15,defender,1.4980790304997689,1.4570720261540249,1.4946105989810925,2.060521307679965,2.069178251407264
121,test,15,forward,2.4029755247883595,2.3838066228411807,2.3442618379814393,1.7874947036663977,1.7785024548430688
122,test,15,goalkeeper,2.3578969027387933,2.3584053054243714,2.559843767071801,2.157503428886034,2.1819636230142034
123,test,15,midfielder,1.899681000632618,1.9133905721666171,1.8831348693341663,1.583335337452919,1.5771823574457022
124,test,16,defender,1.5649803138307028,1.4907806676378288,1.5260227263942963,2.0515277127948544,2.0636948859587543
125,test,16,forward,2.288665041988426,2.288882500008429,2.2689978011314706,1.752049871037564,1.7754634556123303
126,test,16,goalkeeper,2.5092676847609727,2.323226225418836,2.5221631317402915,2.1096954157356556,2.0997763000533727
127,test,16,midfielder,1.8606128945615232,1.8837091471373093,1.8650754001901015,1.5942242138252793,1.5977659861124813
128,test,17,defender,1.6046897808037062,1.5445256254104471,1.5558296033828567,2.0267789251481094,2.0350429257901723
129,test,17,forward,2.211534812366428,2.206917753367313,2.198430304726109,1.7710155728797998,1.8041336320889936
130,test,17,goalkeeper,2.467394500163296,2.3645414851258764,2.391604212471998,2.0207858650760406,2.0510053821866783
131,test,17,midfielder,1.8278169220144234,1.8402058247190503,1.8272898138812905,1.6022317573037566,1.6133854181461087
132,test,18,defender,1.6343834325495188,1.5662270110731757,1.5761189484154876,2.007236785162437,2.014733604269383
133,test,18,forward,2.1952490679666283,2.1733361103540743,2.167115590710347,1.744964235870278,1.7612997052091355
134,test,18,goalkeeper,2.3394289910082784,2.2663278969986687,2.423464485524272,2.006743965682501,1.9817410272806142
135,test,18,midfielder,1.842537169617662,1.854830655005338,1.836519080412646,1.6167663180084908,1.6220253837669178
136,test,19,defender,1.6474721146396194,1.5933279831645706,1.5952034840591554,1.9830972827761415,1.9743443496219417
137,test,19,forward,2.098981233898071,2.102951911679529,2.1034714364790306,1.6838865022567404,1.7193702579681547
138,test,19,goalkeeper,2.367099094686294,2.306368468967155,2.4274305289214615,2.0125686258623654,2.008394769808438
139,test,19,midfielder,1.8087082141814157,1.8250370748221638,1.8116144202594757,1.6391821792845318,1.627836544225967
140,test,20,defender,1.6523024295565958,1.6608756303813303,1.6689782358444079,1.97248382077579,1.9674950127643054
141,test,20,forward,2.0625284915575004,2.0655325655782177,2.0650995696577326,1.738328543359819,1.7379153504505191
142,test,20,goalkeeper,2.3843932118334554,2.369481528111399,2.4635303344946236,1.9526025453912776,1.9682598225770933
143,test,20,midfielder,1.8158031792177631,1.8229977270349356,1.8081703917144927,1.622050980281274,1.6230537076020355
144,test,21,defender,1.643385256557477,1.6580327253742724,1.6602282284102432,1.9317051918629453,1.931737856819482
145,test,21,forward,2.0148002558840217,2.0230687899700017,2.0011317041889995,1.7143969915949533,1.7039537211433131
146,test,21,goalkeeper,2.2705494904171353,2.321921655519909,2.2901524948456635,1.9336122934084965,1.9407117539266232
147,test,21,midfielder,1.846364046118829,1.8351349669518524,1.818916339102197,1.6080576664781647,1.600182354645684
148,test,22,defender,1.6385715981675624,1.6570146782313124,1.6619501582539722,1.987344239169169,1.9992332206582495
149,test,22,forward,1.9460978058515588,1.9846823066957135,1.9631273335061505,1.60914957261472,1.621187633857972
150,test,22,goalkeeper,2.3588211157924905,2.34388990948813,2.3974649353730837,2.018232742787998,2.027346645584042
151,test,22,midfielder,1.8159294365384624,1.8235344695730564,1.8212560604067793,1.5973786733448994,1.6080512484575238
152,test,23,defender,1.581176018364649,1.5500173060709037,1.5530691010004936,2.056690324500717,2.0564025303918076
153,test,23,forward,1.9389836788282326,1.9820629312349523,1.960585430841578,1.5740340928903098,1.60751686579545
154,test,23,goalkeeper,2.294138077099396,2.266309503987645,2.34669147905961,2.127229810663437,2.1428215790944436
155,test,23,midfielder,1.8064659897458442,1.8181265268641955,1.8182446017830047,1.5821378794500098,1.590844301060525
156,test,24,defender,1.5653814872999925,1.5426717623568376,1.5438343912835164,2.0728855150465333,2.0771115317655284
157,test,24,forward,1.921646863286708,1.955558192821546,1.9435396903357232,1.6973563911810194,1.7089765188265227
158,test,24,goalkeeper,2.2060266403516664,2.260630776830079,2.334264030230243,2.1106166078434234,2.1485196834704694
159,test,24,midfielder,1.7800433087088454,1.8098427944896849,1.8027407060027267,1.5454276158895526,1.5573772132507229
160,test,25,defender,1.5703375422292665,1.56029900276577,1.5581753653567914,2.073641074031837,2.0802234113526206
161,test,25,forward,1.9224617805170026,1.9572458530052868,1.9472200973998297,1.684009885927422,1.7133353591413039
162,test,25,goalkeeper,2.200520197757108,2.253368845116427,2.372809082701831,2.1283631301539065,2.1625122968880524
163,test,25,midfielder,1.7972029946897294,1.809933795988679,1.8023991450118302,1.5420740203223995,1.5504688524001937
164,test,26,defender,1.5773229013559829,1.563296173283371,1.5540979991107349,2.053989061679722,2.057692212805094
165,test,26,forward,1.874502682047739,1.9110431056529313,1.8953773130329874,1.8203860213050953,1.8397655443040066
166,test,26,goalkeeper,2.294515488359057,2.281718976589683,2.36857277481027,2.0815143253899153,2.0720015361873485
167,test,26,midfielder,1.7899080687897728,1.8032085929559611,1.7962574062723138,1.5973250076711407,1.599201727667361
168,test,27,defender,1.624380813632315,1.6136402710413247,1.613307020687254,1.9560530220541357,1.9614688829498865
169,test,27,forward,1.8790862398527395,1.8973769713635207,1.8771989215314997,2.0067737230860643,2.01346976148279
170,test,27,goalkeeper,2.29659571389197,2.33324326972148,2.3904515303071747,2.1187024516880473,2.1185817946797676
171,test,27,midfielder,1.7892406364619131,1.7909210946595269,1.7800528525785904,1.6348539311859172,1.6382989015079383
172,test,28,defender,1.6546057524956534,1.6366610003333708,1.6419593676386843,1.8381110915516738,1.848681530823304
173,test,28,forward,1.8544101599750054,1.9101774446419957,1.8650599419583553,2.0651004890648985,2.0650230331674666
174,test,28,goalkeeper,2.293724893846014,2.3750501245114526,2.448864615359566,2.0020535652332607,1.9704263122384982
175,test,28,midfielder,1.824553271863101,1.8113102917668342,1.7967133964418502,1.6350442766852442,1.639396454870208
176,test,29,defender,1.6706273078713376,1.6535754768275064,1.6610371072114412,1.8431106976277136,1.8403583856085075
177,test,29,forward,1.8714436602755105,1.9373123419382368,1.9012647253592363,2.041888839685228,2.0552341601337814
178,test,29,goalkeeper,2.2924081139062134,2.3626045861919756,2.4461196589010736,2.012934771148625,1.9739384176435895
179,test,29,midfielder,1.8137841099525087,1.8060801804434758,1.7914084192586939,1.5908423198443513,1.5996847386387834
180,test,30,defender,1.681092054080052,1.6536706395095464,1.6638522055047715,1.8740565590321445,1.8696806339043865
181,test,30,forward,1.9058784351936124,1.9528575085998416,1.915898555891675,1.9922469554369215,1.996191791130416
182,test,30,goalkeeper,2.3007076009077134,2.3590935085662745,2.445165536296223,1.9565087623309,1.9157403135107236
183,test,30,midfielder,1.8276225518672704,1.8165248115631383,1.8002882994430975,1.6070429874158747,1.6137752324902854
184,test,31,defender,1.670657368551965,1.6466705318384716,1.6542376599781063,1.9447121465633372,1.944049109919758
185,test,31,forward,1.9443273835698711,2.004867967143424,1.9793625613264292,1.9463676479434224,1.9603754939735294
186,test,31,goalkeeper,2.2115856416075053,2.2746318535432457,2.3882819473118806,2.1035592570041137,2.058726618353784
187,test,31,midfielder,1.8475298428235136,1.841368219793807,1.854097881861595,1.5645072150447354,1.5634024702989076
188,test,32,defender,1.6768722572589678,1.648168921398655,1.6573705494931765,1.9375964953329743,1.9395505132257458
189,test,32,forward,1.9359246732096869,1.99492266356365,1.9747083525630071,1.9569049096838331,1.9618046944209662
190,test,32,goalkeeper,2.248109032901603,2.306456411612345,2.410541940844346,2.100113745195913,2.0636146292819277
191,test,32,midfielder,1.8521815920345308,1.8576263036530636,1.8340170048648161,1.5434403299630297,1.5512659355585898
192,test,33,defender,1.684216024453058,1.6407978681087685,1.6437137010560097,1.931981812882372,1.9329764050828784
193,test,33,forward,1.972017235806581,1.9740076233665573,1.9497279708688837,1.9287687462211467,1.9293117113237117
194,test,33,goalkeeper,2.2653025494942254,2.26560141230338,2.3811431871207938,2.1205272504753374,2.124087937887625
195,test,33,midfielder,1.8669352382520865,1.8695434092645684,1.8688736485112794,1.5353843639069373,1.5471416260917283
196,test,34,defender,1.696009126909714,1.6485934487554448,1.6533313519634025,1.9311906358178481,1.9199906098881034
197,test,34,forward,1.9391149426506868,1.9810271914872786,1.9628779442128454,1.9094110488916942,1.9072008251451678
198,test,34,goalkeeper,2.3603246841134253,2.293415259858179,2.3977341493609483,2.1503215168921934,2.1323161702987075
199,test,34,midfielder,1.8693416899498771,1.8576548232733598,1.8532192591848682,1.62167082267637,1.6261708560553907
200,test,35,defender,1.6633843493284317,1.6395777985963456,1.6524121562339276,1.9286877781513287,1.9267531601858712
201,test,35,forward,1.949245076996573,1.9882026041940266,1.9633338456449345,1.9203648872972385,1.938043820512085
202,test,35,goalkeeper,2.326273747723347,2.2351618505289186,2.3673933921051313,2.2437869081064594,2.227711424730049
203,test,35,midfielder,1.8734368407969282,1.8619738989372785,1.8553991285581672,1.6127845188786278,1.6145191067457714
204,test,36,defender,1.6542909094748244,1.6393870156219408,1.6409013005424855,1.8713111820883144,1.8782954414995792
205,test,36,forward,1.927874067576118,1.9669340400360587,1.932673786367959,1.9051854854035146,1.9118602930675226
206,test,36,goalkeeper,2.347774374340583,2.3244690625421023,2.40517626705826,2.26093032276337,2.2065280935973117
207,test,36,midfielder,1.8773342327674865,1.8664670524700986,1.8582790500496384,1.6235853765935204,1.6279055925113053
208,test,37,defender,1.651859853365369,1.6343975615163993,1.634340695432891,1.892342999711213,1.8881179896681435
209,test,37,forward,1.977341702349056,1.994394604674155,1.9591673636906308,1.8446007501837025,1.8567536875764608
210,test,37,goalkeeper,2.2826957624320863,2.2360427566999177,2.3496149256392473,2.1166588717245762,2.08024815011399
211,test,37,midfielder,1.89528065710599,1.8849555340097468,1.8777516113275317,1.6112337455377914,1.6196022259119305
212,test,38,defender,1.643166277253146,1.610930557497013,1.6202455585387696,1.9857816597993232,1.9808599046330813
213,test,38,forward,1.9729946822748077,1.986812286860662,1.9574210625705066,1.8313224365304677,1.8625325724586805
214,test,38,goalkeeper,2.1506020188175223,2.1369224552963892,2.2382344201449547,2.2162524878258463,2.1954360852326955
215,test,38,midfielder,1.8777037033673423,1.8652569481971204,1.8628543456627766,1.683204493851795,1.6956580571580742
216,training,3,defender,1.003239108773437,1.0049213531318095,1.1281119223507483,1.8144509206681907,1.8434524460749875
217,training,3,forward,6.889190370769263,6.488204709995799,7.030893403668451,5.290689924604491,5.3291949454614285
218,training,3,goalkeeper,2.4107858700266176,5.569069749271291,1.62779702608723,2.186273005651163,2.1469234846215044
219,training,3,midfielder,2.7943144252728254,2.5894862649848127,2.7176992534550424,2.519312046362999,2.563009698668292
220,training,4,defender,1.6226109005398743,1.5701528512042755,1.5801293005240462,2.233788375192818,2.285673854808428
221,training,4,forward,4.858561262199054,4.643171839928051,4.703051204641956,3.670814467475904,3.739164524908376
222,training,4,goalkeeper,2.663893155828636,2.664092502497634,2.663893155828636,2.141144089309437,2.1778127919741133
223,training,4,midfielder,2.3898120014504913,2.336368976063793,2.295805663520269,2.2334020501129057,2.196876524973848
224,training,5,defender,1.5660668316905895,1.5139111772024212,1.5180305940245582,2.247172861069972,2.288522036948509
225,training,5,forward,3.9087429107501976,3.8832707413278063,3.849944779297892,3.421930750405867,3.3906728944644504
226,training,5,goalkeeper,2.435551411825746,2.3781809343813674,2.3782371498375214,1.960663664089515,1.9865125578228862
227,training,5,midfielder,2.4761219530637515,2.4699580219774098,2.45061245161819,2.262634458212242,2.2745348890534953
228,training,6,defender,1.6284005727526638,1.5811433903738181,1.5830704622778264,2.195224634189878,2.1854500205714937
229,training,6,forward,3.447602644189838,3.402430024693926,3.3987489638885733,3.1372223172220726,3.0884541387036717
230,training,6,goalkeeper,2.64317368377141,2.6116290083278475,2.611669105453125,2.0741046923565474,2.087473165947259
231,training,6,midfielder,2.2563767124790512,2.2567971902655866,2.265187453731052,2.0118041711989725,1.9870948805035524
232,training,7,defender,1.6229260292076735,1.615619099566253,1.6299423283492132,2.119314248931866,2.113087471236849
233,training,7,forward,3.345445617078634,3.191273934181838,3.227325216195176,2.9416998322343,2.9203585651931836
234,training,7,goalkeeper,2.774542450462199,2.7546162384810944,2.730750005522251,2.128655477275491,2.145159349125429
235,training,7,midfielder,2.1452505806769913,2.1441641422062707,2.1541871730182716,1.8629629582681708,1.8854587381795045
236,training,8,defender,1.684887553458858,1.6470488513558885,1.638910440414331,2.1247281150842725,2.104205643497951
237,training,8,forward,3.071303331565579,2.99597789831093,3.0334735938667747,2.6977910875457636,2.705206939357053
238,training,8,goalkeeper,2.6856560476112232,2.671230316243594,2.6316424697786562,2.073261331302695,2.0760409247706875
239,training,8,midfielder,2.083059615305589,2.088084231707909,2.0935651403461057,1.8246608577096464,1.8003930572658888
240,training,9,defender,1.7151668762008017,1.6880403549516807,1.682342363125644,2.128301041659761,2.1226189458646956
241,training,9,forward,2.9354024875833744,2.892952172990392,2.9076544940393516,2.6073636418979524,2.603002138713268
242,training,9,goalkeeper,2.775944001227305,2.7594510037330076,2.6938809674925337,2.1598030904460166,2.177763713773869
243,training,9,midfielder,2.0105860287951236,2.0163428161148995,2.019482692617506,1.7576339882042264,1.772520913696434
244,training,10,defender,1.7392616595825647,1.6959595007276556,1.7029595166275608,2.093951511633969,2.0982305166003874
245,training,10,forward,2.824911820779763,2.7706073182300184,2.7927605508628046,2.5137758042761074,2.5650847400013994
246,training,10,goalkeeper,2.864066949123006,2.8767518601779014,2.8029244856228526,2.2214523721681894,2.2929896984861373
247,training,10,midfielder,1.9404748812462524,1.9407013026580344,1.9413542368349985,1.7106076479216028,1.7549541229274408
248,training,11,defender,1.7031074488963585,1.6802852748765473,1.6906355739721668,2.073596664045556,2.068953933541194
249,training,11,forward,2.7196166677786815,2.6778395289517896,2.6898359110921986,2.507395766511785,2.505705196821729
250,training,11,goalkeeper,2.919864765509678,2.8728200886471984,2.9226933262854695,2.2955430621081416,2.3416907050652975
251,training,11,midfielder,1.9674915615628608,1.963359924874046,1.9683625359369366,1.73660661722875,1.7505302675137215
252,training,12,defender,1.6698134800152378,1.6377517362347713,1.6417948369548376,2.0271089994674973,2.029331710162636
253,training,12,forward,2.6884045082579933,2.650271919831104,2.665069124954305,2.460813167928015,2.481245102516203
254,training,12,goalkeeper,2.797874521538738,2.729505107827535,2.734741693373871,2.19769908024926,2.2618482950094765
255,training,12,midfielder,1.9923781318925342,1.9966735889947358,1.9961260867033748,1.761435976622585,1.7859903842917713
256,training,13,defender,1.684964209025392,1.6507589959387223,1.6690636675611183,2.0273154084893146,2.0258237189416364
